kota_administrasi,kecamatan,kelurahan,rw,tgl_kejadian,bulan_kejadian,rainFall_mm,rainDuration_minutes,ketinggian_air_min_cm,ketinggian_air_max_cm,waktu_kejadian
Jakarta Pusat,Gambir,Gambir,15,2024-01-19,Januari,76.2,228,20,102,14:55
Jakarta Pusat,Gambir,Gambir,04,2024-01-07,Januari,71.9,226,0,78,06:36
Jakarta Pusat,Gambir,Gambir,01,2024-02-02,Februari,61.8,254,36,84,18:56
Jakarta Pusat,Gambir,Gambir,11,2024-02-10,Februari,60.8,226,39,74,14:42
Jakarta Pusat,Gambir,Gambir,12,2024-03-17,Maret,157.7,208,37,102,18:13
Jakarta Pusat,Gambir,Gambir,04,2024-03-06,Maret,138.3,198,36,96,23:00
Jakarta Pusat,Gambir,Gambir,15,2024-04-21,April,11.4,61,2,16,13:10
Jakarta Pusat,Gambir,Gambir,13,2024-05-06,Mei,35.1,71,5,39,11:26
Jakarta Pusat,Gambir,Gambir,10,2024-06-19,Juni,51.3,40,13,29,14:16
Jakarta Pusat,Gambir,Gambir,08,2024-07-06,Juli,47.0,59,2,32,14:03
Jakarta Pusat,Gambir,Gambir,15,2024-08-14,Agustus,27.2,79,2,35,00:49
Jakarta Pusat,Gambir,Gambir,11,2024-09-02,September,72.0,4,5,23,16:29
Jakarta Pusat,Gambir,Gambir,03,2024-10-12,Oktober,132.1,231,26,90,07:11
Jakarta Pusat,Gambir,Gambir,07,2024-10-21,Oktober,164.3,224,8,83,08:41
Jakarta Pusat,Gambir,Gambir,08,2024-11-27,November,138.3,183,15,57,21:01
Jakarta Pusat,Gambir,Gambir,02,2024-11-01,November,169.9,195,17,68,23:57
Jakarta Pusat,Gambir,Gambir,12,2024-12-21,Desember,137.4,205,33,41,11:58
Jakarta Pusat,Gambir,Gambir,14,2024-12-11,Desember,98.3,221,44,54,17:05
Jakarta Pusat,Gambir,Kebon Kelapa,12,2024-01-17,Januari,150.9,230,15,99,16:34
Jakarta Pusat,Gambir,Kebon Kelapa,11,2024-01-08,Januari,114.8,223,21,93,06:06
Jakarta Pusat,Gambir,Kebon Kelapa,05,2024-02-14,Februari,163.9,72,16,130,10:39
Jakarta Pusat,Gambir,Kebon Kelapa,04,2024-02-10,Februari,177.3,93,29,128,07:26
Jakarta Pusat,Gambir,Kebon Kelapa,06,2024-03-06,Maret,149.5,108,11,58,15:05
Jakarta Pusat,Gambir,Kebon Kelapa,09,2024-03-13,Maret,163.6,99,6,53,03:25
Jakarta Pusat,Gambir,Kebon Kelapa,05,2024-04-06,April,30.4,23,0,18,21:01
Jakarta Pusat,Gambir,Kebon Kelapa,14,2024-05-20,Mei,12.5,33,8,9,03:40
Jakarta Pusat,Gambir,Kebon Kelapa,13,2024-06-14,Juni,61.7,58,8,23,23:32
Jakarta Pusat,Gambir,Kebon Kelapa,11,2024-07-27,Juli,34.5,45,4,23,00:45
Jakarta Pusat,Gambir,Kebon Kelapa,12,2024-08-12,Agustus,11.5,1,2,5,13:58
